Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
NMADV   ,   .654734    ,   .332968    ,   1.96636    ,   .492573E-01,   .212901E-02,   1.30734    
AGENTRES,  -.967383    ,   .441781    ,  -2.18974    ,   .285434E-01,  -1.83326    ,  -.101509    
WATERVAL,  -.185060E-01,   .279198    ,  -.662825E-01,   .947153    ,  -.565725    ,   .528713    
AGENTVAL,   .424803    ,   .633343    ,   .670731    ,   .502392    ,  -.816526    ,   1.66613    
STEWARDS,   .476456    ,   .162925    ,   2.92439    ,   .345131E-02,   .157129    ,   .795783    
LANDOWNE,  -.480008    ,   .168482    ,  -2.84901    ,   .438549E-02,  -.810226    ,  -.149789    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.58813    ,   .177818    ,  -8.93117    ,   .000000    ,  -1.93664    ,  -1.23961    
PAY     ,   .667205E-02,   .634334E-03,   10.5182    ,   .000000    ,   .542878E-02,   .791532E-02
COVERCRO,  -.186453    ,   .121258    ,  -1.53765    ,   .124133    ,  -.424113    ,   .512083E-01
NM      ,  -.346654    ,   .118060    ,  -2.93624    ,   .332215E-02,  -.578048    ,  -.115260    
ASC     ,  -1.39409    ,   .625090    ,  -2.23023    ,   .257324E-01,  -2.61925    ,  -.168938    
DEMS18  ,   .702261    ,   .127295    ,   5.51681    ,   .345216E-07,   .452768    ,   .951755    
COSTTAX ,  -.168120E-02,   .452077E-03,  -3.71884    ,   .200138E-03,  -.256726E-02,  -.795149E-03
INCFARM1,   .801492    ,   .331773    ,   2.41578    ,   .157014E-01,   .151229    ,   1.45176    
INCFARM2,   .435165    ,   .334007    ,   1.30286    ,   .192622    ,  -.219477    ,   1.08981    
INCFARM4,   .445609    ,   .330920    ,   1.34658    ,   .178116    ,  -.202981    ,   1.09420    
INCFARM5,   .466035    ,   .336039    ,   1.38685    ,   .165489    ,  -.192590    ,   1.12466    
INCFARM6,   2.14323    ,   .481544    ,   4.45074    ,   .855741E-05,   1.19942    ,   3.08704    
FARMSI2 ,   1.02472    ,   .468254    ,   2.18839    ,   .286411E-01,   .106962    ,   1.94249    
FARMSI3 ,  -.168923    ,   .248771    ,  -.679033    ,   .497117    ,  -.656505    ,   .318658    
FARMSI4 ,   .916382    ,   .459928    ,   1.99244    ,   .463223E-01,   .149389E-01,   1.81782    
CONSUMP ,   .824269    ,   .489075    ,   1.68536    ,   .919182E-01,  -.134300    ,   1.78284    
GENECON ,  -.458752    ,   .222249    ,  -2.06413    ,   .390053E-01,  -.894352    ,  -.231509E-01
SPECIF  ,  -.260372    ,   .212477    ,  -1.22541    ,   .220420    ,  -.676819    ,   .156075    
ETHI    ,   .156519    ,   .200927    ,   .778984    ,   .435989    ,  -.237291    ,   .550329    
NONCOMSU,   .190249    ,   .149084    ,   1.27612    ,   .201914    ,  -.101951    ,   .482448    
ADVAN   ,   2.65143    ,   .771811    ,   3.43533    ,   .591824E-03,   1.13871    ,   4.16415    
NMDIS   ,  -19.6956    ,   9.04279    ,  -2.17805    ,   .294023E-01,  -37.4192    ,  -1.97210    
WLDDIS  ,  -.475334    ,   .160222    ,  -2.96673    ,   .300990E-02,  -.789364    ,  -.161305    
CCDIS   ,  -.205393E-01,   .112950    ,  -.181843    ,   .855706    ,  -.241918    ,   .200839    
OPENNESS,  -.616412    ,   .174535    ,  -3.53174    ,   .412830E-03,  -.958494    ,  -.274330    
FAMILIAR,  -.145591    ,   .181753    ,  -.801036    ,   .423111    ,  -.501821    ,   .210639    
WLDADV  ,   1.08981    ,   .405708    ,   2.68619    ,   .722718E-02,   .294636    ,   1.88498    
CCADV   ,   .226140    ,   .148675    ,   1.52104    ,   .128250    ,  -.652570E-01,   .517538    
NMADV   ,   1.33835    ,   .400663    ,   3.34033    ,   .836778E-03,   .553063    ,   2.12363    
AGENTRES,  -1.70235    ,   .557815    ,  -3.05182    ,   .227462E-02,  -2.79565    ,  -.609052    
WATERVAL,   .105720E-01,   .349474    ,   .302511E-01,   .975867    ,  -.674385    ,   .695529    
AGENTVAL,  -.532883    ,   .856084    ,  -.622466    ,   .533635    ,  -2.21078    ,   1.14501    
STEWARDS,   .721472    ,   .226738    ,   3.18197    ,   .146278E-02,   .277075    ,   1.16587    
LANDOWNE,  -.688624    ,   .214643    ,  -3.20823    ,   .133554E-02,  -1.10932    ,  -.267932    
WETL:LAK,   .000000    ,   .000000    ,   .100000E+11,   .133554E-02,   .000000    ,   .000000    
WETL:INC,   .000000    ,   .000000    ,   .100000E+11,   .133554E-02,   .000000    ,   .000000    
PAY :LAK,   .000000    ,   .000000    ,   .100000E+11,   .133554E-02,   .000000    ,   .000000    
PAY :INC,   .000000    ,   .000000    ,   .100000E+11,   .133554E-02,   .000000    ,   .000000    
COVE:LAK,   .424463E-01,   .217609E-01,   1.95058    ,   .511073E-01,  -.204261E-03,   .850969E-01
COVE:INC,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :LAK,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :INC,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
QsWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
QsPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
QsCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
QsNM    ,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
COVE:WET,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :WET,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :COV,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
sdWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
sdPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
sdCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
sdNM    ,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
COVE:WET,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :WET,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
NM  :COV,   .000000    ,   .000000    ,   .100000E+11,   .511073E-01,   .000000    ,   .000000    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.504762    ,   .118639    ,  -4.25459    ,   .209430E-04,  -.737291    ,  -.272233    
PAY     ,   .156055E-02,   .264084E-03,   5.90930    ,   .000000    ,   .104296E-02,   .207814E-02
COVERCRO,   .450837E-01,   .832221E-01,   .541727    ,   .588007    ,  -.118029    ,   .208196    
NM      ,  -.668557E-01,   .899774E-01,  -.743028    ,   .457465    ,  -.243208    ,   .109497    
ASC     ,  -.544982    ,   .409812    ,  -1.32984    ,   .183573    ,  -1.34820    ,   .258234    
DEMS18  ,   .445117    ,   .912953E-01,   4.87557    ,   .108494E-05,   .266181    ,   .624052    
COSTTAX ,  -.135058E-02,   .400135E-03,  -3.37531    ,   .737320E-03,  -.213483E-02,  -.566330E-03
INCFARM1,   .185113    ,   .217361    ,   .851637    ,   .394415    ,  -.240907    ,   .611132    
INCFARM2,   .215483    ,   .219996    ,   .979487    ,   .327339    ,  -.215701    ,   .646668    
INCFARM4,   .189120    ,   .223906    ,   .844642    ,   .398311    ,  -.249727    ,   .627967    
INCFARM5,   .276577    ,   .225366    ,   1.22724    ,   .219734    ,  -.165132    ,   .718285    
INCFARM6,   1.04025    ,   .344004    ,   3.02396    ,   .249493E-02,   .366017    ,   1.71449    
FARMSI2 ,   .669116    ,   .297816    ,   2.24674    ,   .246566E-01,   .854067E-01,   1.25282    
FARMSI3 ,  -.178778    ,   .182155    ,  -.981459    ,   .326366    ,  -.535796    ,   .178240    
FARMSI4 ,   .578390    ,   .282736    ,   2.04569    ,   .407865E-01,   .242390E-01,   1.13254    
CONSUMP ,   .761161    ,   .300204    ,   2.53548    ,   .112293E-01,   .172773    ,   1.34955    
GENECON ,  -.152375    ,   .641829E-01,  -2.37407    ,   .175933E-01,  -.278171    ,  -.265784E-01
ADVAN   ,   2.14819    ,   .514571    ,   4.17471    ,   .298363E-04,   1.13964    ,   3.15673    
NMDIS   ,  -15.8948    ,   5.96379    ,  -2.66522    ,   .769380E-02,  -27.5836    ,  -4.20600    
WLDDIS  ,  -.379511    ,   .115601    ,  -3.28293    ,   .102735E-02,  -.606085    ,  -.152936    
CCDIS   ,   .368758E-01,   .926831E-01,   .397870    ,   .690726    ,  -.144780    ,   .218531    
OPENNESS,  -.578816    ,   .144394    ,  -4.00858    ,   .610862E-04,  -.861823    ,  -.295808    
FAMILIAR,   .518835E-01,   .134726    ,   .385103    ,   .700161    ,  -.212175    ,   .315942    
WLDADV  ,   1.20393    ,   .307487    ,   3.91539    ,   .902578E-04,   .601268    ,   1.80659    
CCADV   ,   .203825    ,   .105804    ,   1.92643    ,   .540507E-01,  -.354808E-02,   .411198    
NMADV   ,   .676194    ,   .329890    ,   2.04976    ,   .403882E-01,   .296216E-01,   1.32277    
AGENTRES,  -.978436    ,   .436625    ,  -2.24091    ,   .250320E-01,  -1.83420    ,  -.122667    
STEWARDS,   .533951    ,   .119356    ,   4.47359    ,   .769154E-05,   .300017    ,   .767885    
LANDOWNE,  -.523072    ,   .147486    ,  -3.54658    ,   .390270E-03,  -.812140    ,  -.234004    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.58712    ,   .177811    ,  -8.92588    ,   .000000    ,  -1.93562    ,  -1.23861    
PAY     ,   .667244E-02,   .625492E-03,   10.6675    ,   .000000    ,   .544649E-02,   .789838E-02
COVERCRO,  -.194788    ,   .120275    ,  -1.61952    ,   .105336    ,  -.430522    ,   .409469E-01
NM      ,  -.344068    ,   .117375    ,  -2.93135    ,   .337491E-02,  -.574119    ,  -.114017    
ASC     ,  -1.43443    ,   .609649    ,  -2.35288    ,   .186288E-01,  -2.62932    ,  -.239539    
DEMS18  ,   .707210    ,   .123157    ,   5.74234    ,   .000000    ,   .465826    ,   .948593    
COSTTAX ,  -.171937E-02,   .444832E-03,  -3.86521    ,   .110993E-03,  -.259122E-02,  -.847515E-03
INCFARM1,   .832181    ,   .325357    ,   2.55775    ,   .105352E-01,   .194494    ,   1.46987    
INCFARM2,   .451413    ,   .328458    ,   1.37434    ,   .169336    ,  -.192352    ,   1.09518    
INCFARM4,   .472115    ,   .325229    ,   1.45164    ,   .146602    ,  -.165323    ,   1.10955    
INCFARM5,   .510764    ,   .329359    ,   1.55078    ,   .120954    ,  -.134768    ,   1.15630    
INCFARM6,   2.10355    ,   .474027    ,   4.43761    ,   .909622E-05,   1.17447    ,   3.03262    
FARMSI2 ,   1.04582    ,   .455678    ,   2.29508    ,   .217285E-01,   .152705    ,   1.93893    
FARMSI3 ,  -.163966    ,   .244584    ,  -.670389    ,   .502610    ,  -.643341    ,   .315409    
FARMSI4 ,   .946856    ,   .449214    ,   2.10781    ,   .350478E-01,   .664125E-01,   1.82730    
CONSUMP ,   .878799    ,   .477673    ,   1.83975    ,   .658051E-01,  -.574234E-01,   1.81502    
GENECON ,  -.194872    ,   .820341E-01,  -2.37550    ,   .175252E-01,  -.355656    ,  -.340881E-01
ADVAN   ,   2.82109    ,   .685582    ,   4.11488    ,   .387383E-04,   1.47737    ,   4.16480    
NMDIS   ,  -23.0937    ,   7.96245    ,  -2.90033    ,   .372774E-02,  -38.6998    ,  -7.48759    
WLDDIS  ,  -.468482    ,   .155615    ,  -3.01053    ,   .260794E-02,  -.773481    ,  -.163483    
CCDIS   ,  -.360997E-01,   .111829    ,  -.322812    ,   .746838    ,  -.255280    ,   .183081    
OPENNESS,  -.629137    ,   .169068    ,  -3.72119    ,   .198283E-03,  -.960505    ,  -.297768    
FAMILIAR,  -.496009E-01,   .170334    ,  -.291197    ,   .770901    ,  -.383450    ,   .284248    
WLDADV  ,   1.09306    ,   .401781    ,   2.72054    ,   .651749E-02,   .305586    ,   1.88054    
CCADV   ,   .209672    ,   .144467    ,   1.45134    ,   .146684    ,  -.734789E-01,   .492822    
NMADV   ,   1.34519    ,   .393244    ,   3.42075    ,   .624484E-03,   .574446    ,   2.11594    
AGENTRES,  -1.70586    ,   .545107    ,  -3.12941    ,   .175158E-02,  -2.77425    ,  -.637473    
STEWARDS,   .631332    ,   .156445    ,   4.03550    ,   .544858E-04,   .324706    ,   .937958    
LANDOWNE,  -.610107    ,   .189604    ,  -3.21779    ,   .129183E-02,  -.981724    ,  -.238489    
WETL:LAK,   .000000    ,   .000000    ,   .100000E+11,   .129183E-02,   .000000    ,   .000000    
WETL:INC,   .000000    ,   .000000    ,   .100000E+11,   .129183E-02,   .000000    ,   .000000    
PAY :LAK,   .000000    ,   .000000    ,   .100000E+11,   .129183E-02,   .000000    ,   .000000    
PAY :INC,   .000000    ,   .000000    ,   .100000E+11,   .129183E-02,   .000000    ,   .000000    
COVE:LAK,   .461937E-01,   .213863E-01,   2.15997    ,   .307754E-01,   .427729E-02,   .881102E-01
COVE:INC,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :LAK,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :INC,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
QsWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
QsPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
QsCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
QsNM    ,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
COVE:WET,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :WET,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :COV,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
sdWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
sdPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
sdCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
sdNM    ,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
COVE:WET,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :WET,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
NM  :COV,   .000000    ,   .000000    ,   .100000E+11,   .307754E-01,   .000000    ,   .000000    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.501723    ,   .118263    ,  -4.24242    ,   .221123E-04,  -.733515    ,  -.269931    
PAY     ,   .155125E-02,   .263228E-03,   5.89318    ,   .000000    ,   .103533E-02,   .206717E-02
COVERCRO,   .446878E-01,   .829612E-01,   .538659    ,   .590122    ,  -.117913    ,   .207289    
NM      ,  -.665142E-01,   .896968E-01,  -.741544    ,   .458363    ,  -.242317    ,   .109288    
ASC     ,  -.571473    ,   .407048    ,  -1.40394    ,   .160335    ,  -1.36927    ,   .226327    
DEMS18  ,   .451235    ,   .908073E-01,   4.96915    ,   .672466E-06,   .273256    ,   .629214    
COSTTAX ,  -.128484E-02,   .399281E-03,  -3.21788    ,   .129142E-02,  -.206741E-02,  -.502262E-03
INCFARM1,   .117325    ,   .217493    ,   .539440    ,   .589583    ,  -.308955    ,   .543604    
INCFARM2,   .150593    ,   .219972    ,   .684601    ,   .493595    ,  -.280544    ,   .581729    
INCFARM4,   .102204    ,   .222612    ,   .459113    ,   .646153    ,  -.334108    ,   .538517    
INCFARM5,   .167745    ,   .223971    ,   .748958    ,   .453882    ,  -.271230    ,   .606720    
INCFARM6,   1.03815    ,   .343586    ,   3.02152    ,   .251511E-02,   .364735    ,   1.71157    
FARMSI2 ,   .766180    ,   .293277    ,   2.61248    ,   .898873E-02,   .191369    ,   1.34099    
FARMSI3 ,  -.175852    ,   .181839    ,  -.967076    ,   .333506    ,  -.532249    ,   .180546    
FARMSI4 ,   .641504    ,   .279009    ,   2.29923    ,   .214921E-01,   .946570E-01,   1.18835    
CONSUMP ,   .788804    ,   .296761    ,   2.65805    ,   .785953E-02,   .207163    ,   1.37044    
GENECON ,  -.120247    ,   .629624E-01,  -1.90982    ,   .561560E-01,  -.243651    ,   .315697E-02
ADVAN   ,   2.11233    ,   .504676    ,   4.18552    ,   .284512E-04,   1.12319    ,   3.10148    
NMDIS   ,  -15.3068    ,   5.92339    ,  -2.58413    ,   .976263E-02,  -26.9164    ,  -3.69715    
WLDDIS  ,  -.448186    ,   .112292    ,  -3.99126    ,   .657236E-04,  -.668274    ,  -.228098    
CCDIS   ,  -.850869E-01,   .873597E-01,  -.973983    ,   .330065    ,  -.256309    ,   .861350E-01
WLDADV  ,   1.13176    ,   .279898    ,   4.04347    ,   .526663E-04,   .583168    ,   1.68035    
CCADV   ,   .119603    ,   .103439    ,   1.15627    ,   .247572    ,  -.831333E-01,   .322339    
NMADV   ,   1.10249    ,   .284782    ,   3.87137    ,   .108226E-03,   .544333    ,   1.66066    
AGENTRES,  -1.08275    ,   .415913    ,  -2.60330    ,   .923306E-02,  -1.89792    ,  -.267572    
STEWARDS,   .502406    ,   .118949    ,   4.22369    ,   .240332E-04,   .269269    ,   .735543    
LANDOWNE,  -.515665    ,   .145492    ,  -3.54428    ,   .393683E-03,  -.800824    ,  -.230506    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.60239    ,   .179000    ,  -8.95186    ,   .000000    ,  -1.95322    ,  -1.25155    
PAY     ,   .674203E-02,   .624251E-03,   10.8002    ,   .000000    ,   .551852E-02,   .796554E-02
COVERCRO,  -.223776    ,   .120993    ,  -1.84950    ,   .643850E-01,  -.460917    ,   .133648E-01
NM      ,  -.352743    ,   .116803    ,  -3.01998    ,   .252789E-02,  -.581673    ,  -.123813    
ASC     ,  -1.42904    ,   .594890    ,  -2.40219    ,   .162972E-01,  -2.59500    ,  -.263077    
DEMS18  ,   .720325    ,   .120475    ,   5.97906    ,   .000000    ,   .484199    ,   .956451    
COSTTAX ,  -.167767E-02,   .460697E-03,  -3.64159    ,   .270958E-03,  -.258062E-02,  -.774720E-03
INCFARM1,   .766782    ,   .331469    ,   2.31328    ,   .207072E-01,   .117114    ,   1.41645    
INCFARM2,   .367718    ,   .335902    ,   1.09472    ,   .273641    ,  -.290638    ,   1.02607    
INCFARM4,   .374088    ,   .331719    ,   1.12773    ,   .259435    ,  -.276068    ,   1.02424    
INCFARM5,   .391790    ,   .336934    ,   1.16281    ,   .244907    ,  -.268589    ,   1.05217    
INCFARM6,   2.00379    ,   .475063    ,   4.21795    ,   .246535E-04,   1.07269    ,   2.93490    
FARMSI2 ,   1.14302    ,   .428175    ,   2.66952    ,   .759594E-02,   .303815    ,   1.98223    
FARMSI3 ,  -.191040    ,   .244688    ,  -.780751    ,   .434949    ,  -.670620    ,   .288539    
FARMSI4 ,   1.00023    ,   .420327    ,   2.37965    ,   .173293E-01,   .176404    ,   1.82406    
CONSUMP ,   .907774    ,   .449462    ,   2.01969    ,   .434156E-01,   .268442E-01,   1.78870    
GENECON ,  -.161269    ,   .804422E-01,  -2.00478    ,   .449868E-01,  -.318933    ,  -.360495E-02
ADVAN   ,   2.78328    ,   .675345    ,   4.12127    ,   .376791E-04,   1.45963    ,   4.10693    
NMDIS   ,  -21.5857    ,   7.86313    ,  -2.74518    ,   .604773E-02,  -36.9972    ,  -6.17427    
WLDDIS  ,  -.544270    ,   .145518    ,  -3.74022    ,   .183861E-03,  -.829480    ,  -.259059    
CCDIS   ,  -.165171    ,   .101869    ,  -1.62140    ,   .104931    ,  -.364831    ,   .344890E-01
WLDADV  ,   1.15033    ,   .360251    ,   3.19315    ,   .140730E-02,   .444256    ,   1.85641    
CCADV   ,   .125149    ,   .140198    ,   .892659    ,   .372040    ,  -.149634    ,   .399932    
NMADV   ,   1.94372    ,   .352873    ,   5.50826    ,   .362390E-07,   1.25210    ,   2.63534    
AGENTRES,  -1.93758    ,   .500762    ,  -3.86927    ,   .109162E-03,  -2.91906    ,  -.956109    
STEWARDS,   .603661    ,   .154989    ,   3.89485    ,   .982582E-04,   .299887    ,   .907434    
LANDOWNE,  -.626319    ,   .183156    ,  -3.41960    ,   .627134E-03,  -.985298    ,  -.267341    
WETL:LAK,   .000000    ,   .000000    ,   .100000E+11,   .627134E-03,   .000000    ,   .000000    
WETL:INC,   .000000    ,   .000000    ,   .100000E+11,   .627134E-03,   .000000    ,   .000000    
PAY :LAK,   .000000    ,   .000000    ,   .100000E+11,   .627134E-03,   .000000    ,   .000000    
PAY :INC,   .000000    ,   .000000    ,   .100000E+11,   .627134E-03,   .000000    ,   .000000    
COVE:LAK,   .524728E-01,   .218427E-01,   2.40231    ,   .162920E-01,   .966195E-02,   .952837E-01
COVE:INC,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
NM  :LAK,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
NM  :INC,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
QsWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
QsPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
QsCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
QsNM    ,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
COVE:WET,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
NM  :WET,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
NM  :COV,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
sdWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
sdPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
sdCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
sdNM    ,   .000000    ,   .000000    ,   .100000E+11,   .162920E-01,   .000000    ,   .000000    
