id,cgender,cage,ceducation,cincome,cincomefromfarming,clandarea
6948016142,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,1 to 100 acres
6948013471,Male,Over 70,High school diploma,,,100 to 500 acres
6948011547,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 to 500 acres
6948008993,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",1%-25%,100 to 500 acres
6947769197,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,"500 to 1,000 acres"
6947767101,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,100 to 500 acres
6947766117,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6947764954,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6947763940,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,100 to 500 acres
6947763117,Male,Over 70,,,,
6947762340,Male,50-70,High school diploma,"$100,000 - $249,999",50%-75%,100 to 500 acres
6947730214,Male,50-70,High school diploma,"$100,000 - $249,999",75%-100%,1 to 100 acres
6947728905,Male,50-70,Graduate degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres"
6947727383,Male,50-70,Graduate degree,"$100,000 - $249,999",50%-75%,100 to 500 acres
6947725489,Male,50-70,High school diploma,"$250,000 - $499,999",25%-50%,100 to 500 acres
6947722323,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,"500 to 1,000 acres"
6947720880,Male,Over 70,"B.A., B.S., or equivalent","$25,000 - $99,999",25%-50%,100 to 500 acres
6947718708,Female,50-70,Graduate degree,"$100,000 - $249,999",50%-75%,
6947716268,Male,Over 70,High school diploma,None,50%-75%,100 to 500 acres
6947714118,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",75%-100%,100 to 500 acres
6947711441,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6947708338,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6947706873,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,"1,000 acres or more"
6947704679,Male,50-70,High school diploma,"$1 -$24,999",75%-100%,I do not own any land
6947701473,Male,50-70,"B.A., B.S., or equivalent","$1 -$24,999",1%-25%,100 to 500 acres
6947697525,Male,50-70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres
6947696123,Male,50-70,High school diploma,"$100,000 - $249,999",50%-75%,100 to 500 acres
6947392965,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",75%-100%,"500 to 1,000 acres"
6947391733,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",75%-100%,100 to 500 acres
6947391108,,,,,50%-75%,100 to 500 acres
6947389851,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,I do not own any land
6947387994,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",50%-75%,100 to 500 acres
6947387071,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",50%-75%,"500 to 1,000 acres"
6947385647,Male,50-70,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,"1,000 acres or more"
6947384017,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",1%-25%,100 to 500 acres
6947382976,Male,Over 70,High school diploma,,1%-25%,100 to 500 acres
6947381248,Male,50-70,High school diploma,"$1 -$24,999",25%-50%,1 to 100 acres
6947380629,Male,Over 70,Some college but no 4-year degree,,75%-100%,100 to 500 acres
6947379840,Male,Over 70,,,,100 to 500 acres
6947378928,,,,,1%-25%,100 to 500 acres
6947364981,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6947364123,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",50%-75%,100 to 500 acres
6947363268,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",25%-50%,1 to 100 acres
6947362650,,,,,,1 to 100 acres
6947361706,Male,50-70,High school diploma,"$100,000 - $249,999",75%-100%,100 to 500 acres
6947359283,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6947000153,Male,50-70,Graduate degree,"$1 -$24,999",1%-25%,1 to 100 acres
6946999089,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",1%-25%,1 to 100 acres
6946997925,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6946997286,,,,,75%-100%,100 to 500 acres
6946996370,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",50%-75%,1 to 100 acres
6946995349,Female,Over 70,"B.A., B.S., or equivalent","$500,000 to $999,999",50%-75%,100 to 500 acres
6946993526,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,100 to 500 acres
6946896808,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,"500 to 1,000 acres"
6946894306,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",0,100 to 500 acres
6946892816,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6946891262,Male,Over 70,High school diploma,"$1 -$24,999",1%-25%,1 to 100 acres
6946889776,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",75%-100%,100 to 500 acres
6946884857,Male,Over 70,"B.A., B.S., or equivalent","$25,000 - $99,999",25%-50%,100 to 500 acres
6946883630,Male,Over 70,High school diploma,"$25,000 - $99,999",25%-50%,1 to 100 acres
6946882172,Male,Over 70,Graduate degree,"$25,000 - $99,999",1%-25%,100 to 500 acres
6946879942,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,100 to 500 acres
6946742831,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6946742021,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6946740972,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",75%-100%,100 to 500 acres
6946739593,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6946738484,Male,,Some college but no 4-year degree,,50%-75%,"500 to 1,000 acres"
6946737162,Male,Over 70,High school diploma,"$100,000 - $249,999",75%-100%,100 to 500 acres
6946736097,Male,50-70,High school diploma,"$1 -$24,999",25%-50%,100 to 500 acres
6946735108,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6946734321,Male,50-70,High school diploma,"$25,000 - $99,999",0,I do not own any land
6946589637,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,1 to 100 acres
6946589608,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6946588901,Male,Over 70,High school diploma,"$100,000 - $249,999",50%-75%,100 to 500 acres
6946588875,Male,50-70,Some college but no 4-year degree,,,I do not own any land
6946588448,Male,Over 70,High school diploma,,75%-100%,100 to 500 acres
6946588193,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,1 to 100 acres
6946587636,Male,50-70,High school diploma,,75%-100%,100 to 500 acres
6946587356,Male,50-70,,"$250,000 - $499,999",75%-100%,100 to 500 acres
6946586671,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6946586125,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,100 to 500 acres
6946585546,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,"500 to 1,000 acres"
6946584969,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,100 to 500 acres
6946584818,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",75%-100%,1 to 100 acres
6946583955,Male,Over 70,High school diploma,,50%-75%,100 to 500 acres
6946583813,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",1%-25%,"500 to 1,000 acres"
6946513673,Male,30-50,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6946511637,Male,Over 70,High school diploma,"$100,000 - $249,999",50%-75%,100 to 500 acres
6946260193,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",50%-75%,100 to 500 acres
6946258184,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",50%-75%,100 to 500 acres
6946255870,Female,50-70,Some college but no 4-year degree,"$25,000 - $99,999",1%-25%,1 to 100 acres
6946253329,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,"500 to 1,000 acres"
6946252003,Female,50-70,Graduate degree,"$1 -$24,999",1%-25%,1 to 100 acres
6946250964,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6946249196,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,"500 to 1,000 acres"
6946247015,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6946167103,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",1%-25%,1 to 100 acres
6946164683,Male,30-50,Some college but no 4-year degree,"$500,000 to $999,999",50%-75%,100 to 500 acres
6946161348,Male,Over 70,"B.A., B.S., or equivalent","$25,000 - $99,999",25%-50%,100 to 500 acres
6946157221,Male,30-50,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,100 to 500 acres
6946154289,Male,30-50,High school diploma,"$100,000 - $249,999",75%-100%,"1,000 acres or more"
6946149478,Male,50-70,High school diploma,"$25,000 - $99,999",25%-50%,100 to 500 acres
6946147157,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6946144634,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6945891488,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6945889965,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,"500 to 1,000 acres"
6945888906,,,,,50%-75%,100 to 500 acres
6945887634,Male,30-50,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,"1,000 acres or more"
6945886504,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,100 to 500 acres
6945885329,Male,30-50,Some college but no 4-year degree,"$1 -$24,999",1%-25%,1 to 100 acres
6945884181,Female,50-70,Graduate degree,"$1 -$24,999",0,100 to 500 acres
6945882081,Male,50-70,High school diploma,,50%-75%,100 to 500 acres
6945880499,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",50%-75%,1 to 100 acres
6945876874,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,100 to 500 acres
6945874059,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,100 to 500 acres
6945872667,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6945870973,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6945868936,Male,50-70,Graduate degree,"$100,000 - $249,999",1%-25%,"500 to 1,000 acres"
6945867319,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6945865748,Male,50-70,High school diploma,"$1 -$24,999",75%-100%,
6945864732,,,,,25%-50%,100 to 500 acres
6945771977,Male,Over 70,Some college but no 4-year degree,"$1 -$24,999",50%-75%,100 to 500 acres
6945769093,,,,,75%-100%,"500 to 1,000 acres"
6945765963,,,,,75%-100%,
6945762450,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",1%-25%,1 to 100 acres
6945759082,Male,50-70,High school diploma,"$25,000 - $99,999",1%-25%,1 to 100 acres
6945753660,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6945749841,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,100 to 500 acres
6945491577,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6945489960,,,,"$100,000 - $249,999",,100 to 500 acres
6945488925,Female,50-70,Some college but no 4-year degree,"$1 -$24,999",25%-50%,100 to 500 acres
6945484811,Female,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",1%-25%,100 to 500 acres
6945483564,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",50%-75%,"1,000 acres or more"
6945482225,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",1%-25%,1 to 100 acres
6945480813,,,,,25%-50%,100 to 500 acres
6945479131,Male,Over 70,High school diploma,"$500,000 to $999,999",75%-100%,
6945476052,,,Graduate degree,,75%-100%,
6945473463,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",25%-50%,100 to 500 acres
6945471288,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,
6945469617,,,,,50%-75%,
6945357761,Male,Over 70,Graduate degree,"$25,000 - $99,999",25%-50%,100 to 500 acres
6945346677,Male,Over 70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres
6945339362,Male,50-70,"B.A., B.S., or equivalent","$1 -$24,999",50%-75%,100 to 500 acres
6945333858,Female,50-70,Some college but no 4-year degree,"$25,000 - $99,999",75%-100%,100 to 500 acres
6945330465,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",25%-50%,100 to 500 acres
6945096694,Male,50-70,High school diploma,"$1 -$24,999",1%-25%,1 to 100 acres
6945095461,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6945093820,Female,50-70,High school diploma,"$25,000 - $99,999",,100 to 500 acres
6945090035,Male,Over 70,Some college but no 4-year degree,,50%-75%,"500 to 1,000 acres"
6945087838,Male,50-70,High school diploma,"$500,000 to $999,999",50%-75%,1 to 100 acres
6945086238,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6945075683,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",,100 to 500 acres
6945073672,Male,Over 70,High school diploma,,,100 to 500 acres
6945071639,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres
6945069066,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6945066152,Female,50-70,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,100 to 500 acres
6941915788,Male,50-70,,"$250,000 - $499,999",75%-100%,100 to 500 acres
6941781008,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",25%-50%,100 to 500 acres
6941005128,,,,,,I do not own any land
6940815398,,,,,75%-100%,1 to 100 acres
6940155468,Male,30-50,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres
6937754838,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres
6936574728,Male,30-50,Graduate degree,"$100,000 - $249,999",1%-25%,100 to 500 acres
6934585817,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",1%-25%,100 to 500 acres
6934559667,Male,30-50,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,"1,000 acres or more"
6934348442,Male,Over 70,Graduate degree,"$25,000 - $99,999",1%-25%,1 to 100 acres
6934185982,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",0,1 to 100 acres
6933987919,Male,30-50,Some college but no 4-year degree,"$100,000 - $249,999",1%-25%,1 to 100 acres
6933706763,Male,30-50,Some college but no 4-year degree,"$1,000,000 and over",75%-100%,"1,000 acres or more"
6933503691,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",50%-75%,100 to 500 acres
6933154498,Male,50-70,Graduate degree,"$25,000 - $99,999",0,100 to 500 acres
6933133137,,,,,1%-25%,100 to 500 acres
6932752643,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6932751625,,,,,75%-100%,100 to 500 acres
6932688717,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",75%-100%,100 to 500 acres
6932441494,,,,,75%-100%,"500 to 1,000 acres"
6932293849,Male,50-70,"B.A., B.S., or equivalent","$1 -$24,999",1%-25%,1 to 100 acres
6932088242,Female,Over 70,"B.A., B.S., or equivalent","$100,000 - $249,999",75%-100%,
6931894923,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,100 to 500 acres
6931885688,,,,,25%-50%,100 to 500 acres
6931787072,Male,30-50,Graduate degree,"$25,000 - $99,999",25%-50%,1 to 100 acres
6931585020,Male,30-50,Some college but no 4-year degree,"$1 -$24,999",0,1 to 100 acres
6931498222,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,"1,000 acres or more"
6931279978,Female,30-50,"B.A., B.S., or equivalent","$25,000 - $99,999",50%-75%,100 to 500 acres
6930958766,Male,30-50,Graduate degree,"$500,000 to $999,999",50%-75%,100 to 500 acres
6930668529,Male,Under 30,Some college but no 4-year degree,"$1 -$24,999",25%-50%,I do not own any land
6930465140,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,"500 to 1,000 acres"
