id,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,work2017,countyresident
6949471920,Male,Over 70,High school diploma,"$500,000 - $999,999",75%-100%,"More than 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,Sibley
6949467324,Male,Over 70,Some college degree,None,75%-100%,"500 - 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Other (please specify),Retired,Faribault
6949465030,,,,,,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),,Blue Earth
6949463084,Male,50-70,High school diploma,"$1 -$24,999",1%-25%,1 - 100 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Blue Earth
6949461204,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Le Sueur
6949458706,Male,50-70,Some college degree,"$25,000 - $99,999",1%-25%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Part-time farm work on land owned by me or rented from others,Brown
6949455558,Male,Over 70,High school diploma,,75%-100%,,,Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Faribault
6949418183,Male,50-70,Some college degree,"$100,000 - $249,999",1%-25%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,Freeborn
6949416279,,,,,50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Part-time farm work on land owned by me or rented from others,Blue Earth
6949408889,Female,50-70,Some college degree,"$500,000 - $999,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Lincoln
6949405911,Male,Over 70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Kandiyohi
6949403352,,,,,75%-100%,,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Carver
6949399112,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,"More than 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Swift
6949394536,Female,Over 70,Graduate degree,"$1 -$24,999",1%-25%,1 - 100 acres,"Yes, and someone else is in charge of a day to day farm operation.",Continuous Corn (any tillage system),Retired,Freeborn
6949392066,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Conservation Reserve Program (CRP),Full-time farm work on land owned by me or rented from others,Le Sueur
6949389471,Male,50-70,Some college degree,"$250,000 - $499,999",50%-75%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Waseca
6949385903,Female,50-70,High school diploma,"$25,000 - $99,999",50%-75%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time off-farm work,Freeborn
6948985749,Male,50-70,High school diploma,"$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Lac Qui Parle
6948796897,,,,,0,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Retired,Douglas
6948796210,Male,Over 70,Some college degree,"$250,000 - $499,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,Traverse
6948795512,Male,50-70,Some college degree,"$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Stevens
6948794673,Male,50-70,"B.A., B.S., or equivalent","More than $1,000,000",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Hennepin
6948793617,Male,Over 70,"B.A., B.S., or equivalent",,,1 - 100 acres,,,Retired,Carver
6948792859,Male,Over 70,Some college degree,"$100,000 - $249,999",75%-100%,100 - 500 acres,,Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Faribault
6948790989,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Full-time farm work on land owned by me or rented from others,Redwood
6948790357,,,,,25%-50%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Le Sueur
6948788893,Male,Over 70,Graduate degree,None,1%-25%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Dakota
6948788159,Female,Over 70,High school diploma,"$1 -$24,999",1%-25%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Rice
6948756355,Male,Over 70,,,75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Faribault
6948754791,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Other (please specify),Part-time farm work on land owned by me or rented from others,Yellow Medicine
6948752656,Male,50-70,Some college degree,"$250,000 - $499,999",50%-75%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Kandiyohi
6948751048,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,"More than 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,Redwood
6948748993,Male,Over 70,Graduate degree,"$25,000 - $99,999",25%-50%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Retired,Swift
6948747287,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,Redwood
6948745823,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Brown
6948744309,Male,Over 70,High school diploma,"$100,000 - $249,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Renville
6948742656,Male,50-70,High school diploma,"$25,000 - $99,999",0,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Full-time farm work on land owned by me or rented from others,Kandiyohi
6948731395,Male,50-70,Some college degree,"$25,000 - $99,999",25%-50%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,McLeod
6948722483,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,Brown
6948718920,Male,50-70,High school diploma,"$1 -$24,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Corn/Bean (All conventional till),Full-time farm work on land owned by me or rented from others,Nicollet
6948716744,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Le Sueur
6948714093,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",,Full-time farm work on land owned by me or rented from others,Renville
6948712233,Male,50-70,High school diploma,None,75%-100%,"500 - 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Renville
6948710186,Male,,,,,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Nicollet
6948708312,Male,50-70,Graduate degree,"$1 -$24,999",25%-50%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time off-farm work,Swift
6948706493,Male,Over 70,Some college degree,"$100,000 - $249,999",25%-50%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Renville
6948691653,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Lincoln
6948681806,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Chippewa
6948655563,,,,,50%-75%,None,"No, majority of my land is not currently used for crop production.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Retired,Grant
6948647714,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Yellow Medicine
6948511119,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Redwood
6948510157,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Continuous Corn (any tillage system),Full-time farm work on land owned by me or rented from others,Chippewa
6948509307,,,,,75%-100%,,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,Brown
6948508205,Male,Under 30,Graduate degree,"More than $1,000,000",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Murray
6948507689,,,,,75%-100%,"500 - 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Renville
6948506700,Male,50-70,High school diploma,"$1 -$24,999",1%-25%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time off-farm work,Otter Tail
6948504619,Female,50-70,Graduate degree,"$25,000 - $99,999",1%-25%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Otter Tail
6948503888,Male,,,,75%-100%,,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Brown
6948502762,Male,50-70,Some college degree,"$100,000 - $249,999",75%-100%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Continuous Corn (any tillage system),Full-time farm work on land owned by me or rented from others,Kandiyohi
6948501935,Male,Over 70,Some college degree,"$25,000 - $99,999",50%-75%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Chippewa
6948500862,Male,50-70,Graduate degree,"$25,000 - $99,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Nicollet
6948500040,Male,Over 70,High school diploma,"$25,000 - $99,999",1%-25%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Yellow Medicine
6948499253,Male,Over 70,Graduate degree,"$1 -$24,999",1%-25%,"500 - 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Retired,Cottonwood
6948498376,Male,30-50,High school diploma,"$500,000 - $999,999",1%-25%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Sibley
6948497545,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Redwood
6948497011,Male,Over 70,,None,0,"More than 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Swift
6948495759,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",50%-75%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Hennepin
6948494256,Male,50-70,Some college degree,"$250,000 - $499,999",1%-25%,"More than 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Nicollet
6948493327,Male,50-70,Some college degree,"$100,000 - $249,999",25%-50%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,Freeborn
6948492232,Male,Over 70,,"$25,000 - $99,999",75%-100%,100 - 500 acres,,"Corn/Corn/Bean(Minimum-till corn, No-till bean)",Retired,Redwood
6948461651,Male,Over 70,Some college degree,"$100,000 - $249,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean(All No-till),Part-time farm work on land owned by me or rented from others,Waseca
6948085949,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,"More than 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Dakota
6948084829,Male,Over 70,High school diploma,"$100,000 - $249,999",75%-100%,"More than 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Grant
6948083536,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",75%-100%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Cottonwood
6948082295,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Murray
6948080508,Male,50-70,Some college degree,"$250,000 - $499,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Carver
6948077266,Male,50-70,High school diploma,"More than $1,000,000",50%-75%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Freeborn
6948076027,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Renville
6948074916,Male,Over 70,Some college degree,None,0,1 - 100 acres,"No, majority of my land is not currently used for crop production.",,Retired,Watonwan
6948071691,Male,50-70,Graduate degree,"$25,000 - $99,999",1%-25%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Other (please specify),Full-time off-farm work,Blue Earth
6948070295,Male,50-70,High school diploma,"$100,000 - $249,999",50%-75%,,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,Nicollet
6948068890,Male,Over 70,Graduate degree,"$1 -$24,999",25%-50%,1 - 100 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Corn/Bean (All conventional till),Retired,Martin
6948067454,Male,50-70,High school diploma,"$100,000 - $249,999",75%-100%,"More than 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Renville
6948065388,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Corn/Bean (All conventional till),Full-time farm work on land owned by me or rented from others,Martin
6948063980,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Watonwan
6948061858,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,1 - 100 acres,"No, majority of my land is not currently used for crop production.",Corn/Corn/Bean (All conventional till),Retired,Freeborn
6948059293,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",25%-50%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Full-time farm work on land owned by me or rented from others,Renville
6948057874,Male,Over 70,Some college degree,"$100,000 - $249,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Faribault
6948056254,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Rice
6948054705,,,,,,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Other (please specify),Retired,Watonwan
6948052325,Male,50-70,"B.A., B.S., or equivalent","$1 -$24,999",25%-50%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Part-time farm work on land owned by me or rented from others,Rice
6948020508,Male,50-70,Some college degree,"$100,000 - $249,999",75%-100%,"More than 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Traverse
6948018409,Male,50-70,Some college degree,,75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Corn/Bean (All conventional till),Full-time farm work on land owned by me or rented from others,Brown
6948016142,Male,50-70,Some college degree,"$100,000 - $249,999",75%-100%,1 - 100 acres,"No, majority of my land is not currently used for crop production.",,Full-time farm work on land owned by me or rented from others,Watonwan
6948013471,Male,Over 70,High school diploma,,,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Corn/Bean (All conventional till),Part-time farm work on land owned by me or rented from others,Brown
6948011547,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,Murray
6948008993,Male,50-70,Some college degree,"$100,000 - $249,999",1%-25%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Corn/Bean (All conventional till),Full-time off-farm work,Goodhue
6947769197,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Other (please specify),Part-time farm work on land owned by me or rented from others,Brown
6947767101,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Blue Earth
6947766117,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Faribault
6947764954,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean(All No-till),Full-time farm work on land owned by me or rented from others,Lac Qui Parle
6947763940,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Yellow Medicine
6947763117,Male,Over 70,,,,,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Sibley
6947762340,Male,50-70,High school diploma,"$100,000 - $249,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time off-farm work,Sibley
6947730214,Male,50-70,High school diploma,"$100,000 - $249,999",75%-100%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Corn/Bean (All conventional till),Full-time farm work on land owned by me or rented from others,Martin
6947728905,Male,50-70,Graduate degree,"$100,000 - $249,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Full-time farm work on land owned by me or rented from others,Pope
6947727383,Male,50-70,Graduate degree,"$100,000 - $249,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Brown
6947725489,Male,50-70,High school diploma,"$250,000 - $499,999",25%-50%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Renville
6947722323,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Lac Qui Parle
