respondentid,choice1.,choice2.,choice3.,choice4.,choice5.,choice6.,choice7.,choice8,countyresident,countyland,scenicconcern,scenicmoderate,scenicmajor,nutrientconcern,nutrientmoderate,nutrientmajor,habitatconcern,habitatmoderate,habitatmajor,sedimentconcern,sedimentmoderate,sedimentmajor,recreationconcern,recreationmoderate,recreationmajor,valknowconservation,valundueblame,valwaterimportant,vallandregulate,valwaterproblem,valpaymentimportant,valtogether,valstaff,valsteward,valinfluence,pollutionobs,familiar25,otherswetland,otherscovercrop,othersnm,pastcrp,pastfcp,pastmci,pastoneseason,pastlongterm,pastgcdt,pastgcsv,nowcrp,noweqip,nowfcsv,nowcsp,practicegd,practicemintill,practicerb,practicerp,obssediment,obsnutrients,obsodor,obstrash,obslackfish,obsunsafeswim,obscolor,obsunsafedrink,opwetlandfamiliar,opwetlandcostr,opwetlandcontrol,opwetlandequipment,opwetlandcostm,opwetlandhabitat,opwetlandsoil,opcovercropfamiliar,opcovercroprp,opcovercroptimep,opcovercroptimeh,opcovercroprs,opcovercropis,opcovercropln,opnmfamiliar,opnmrs,opnmrl,opnmis,opnmrf,opnmcost,opwetlandopen,opwetlandrestored,opcovercropopen,opcovercropplant,opnmopen,acfish,acswim,acexplore,ackayak,achunt,achike,acbike,acpicnic,achorseride,acgooffroading,sptlandowners,sptfarmmanager,sptrenters,sptgovstaff,sptmrbboard,infonrcs,infofsa,infoces,infomedial,infospecialists,infosfdealer,infomdealer,infoneighborfriends,infoscdc,infovai,infoprivateconsultants,infonpo,infomedian,preferfielddemo,preferinternet,prefercountymeeting,prefertelevision,prefermagazines,preferradio,preferprinted,prefervisual,preferonfarmconsul,prefertradeshows,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,work2017,COM,GCON,SMET,ETHIC,NCOM,ADV,AgResp,WATER,AgVal,LoSte,LoResp,NM_DIS,WLD_DIS,CC_DIS,OPEN,FAMIL,WLD_ADV,CC_ADV,NM_ADV
6949519165,C,C,C,C,C,C,C,V,Todd,Todd,2,2,3,2,2,3,2,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,4,4,3,4,2,3,3,3,4,4,3,2,2,2,4,4,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-0.241553701,-0.305904442,-0.36118781,-0.370310345,-0.308933671,-0.020294721,-0.126630216,0.09505303,0.064196279,-0.128203087,-0.111888963,-0.486018822,0.145931198,-0.026645621,0.635882834,-0.288272036,-0.00855263,0.125856476,0.235495428
6949517026,,,,,,,,,Le Sueur,Le Sueur,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,5,4,4,4,3,4,4,3,4,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,2,3,3,3,4,3,3,1,3,3,3,3,3,3,2,1,3,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,Female,Over 70,Some college but no 4-year degree,,,,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean(All No-till),Retired,0.384154997,-0.305144827,0.142043647,0.206821728,-0.133399027,-0.012680897,0.237274068,0.112413426,0.037030034,-0.679418014,-0.111840731,0.311340277,-0.402185167,-0.037954164,0.072531896,-0.244363672,0.303824741,-0.193027905,-0.193034146
6949515466,V,C,V,C,V,C,C,V,Douglas,Douglas,3,4,2,4,4,4,4,4,4,4,4,4,3,3,2,3,2,5,5,5,4,5,4,4,2,3,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,5,5,2,2,3,3,4,4,3,1,3,3,4,4,3,1,1,1,3,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Male,50-70,High school diploma,"$1 -$24,999",25%-50%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,0.661460122,-0.306693635,0.955292739,0.261876863,-0.010732573,0.000914293,0.07653597,0.270658721,0.636973505,-0.338489809,0.072567463,0.297322974,-0.762276022,-0.138170569,-0.540113612,-0.010332936,1.347805174,0.295063385,0.278109816
6949513982,V,V,V,V,V,V,V,V,Hennepin,Becker,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,3,4,2,5,5,5,4,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,3,3,4,2,2,5,5,2,2,2,2,4,4,2,1,2,2,4,4,3,3,1,1,2,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,Male,Over 70,Graduate degree,None,0,1 to 100 acres,"No, majority of my land is not currently used for crop production.",Other (please specify),Retired,1.154604955,-0.061580553,0.907552725,1.494789276,0.24821836,0.009170056,0.282433094,0.156761083,0.81203584,-0.111362659,0.072812666,-0.49616808,-0.864575295,-0.623288165,0.065495975,-0.005689041,1.243034697,0.282131509,0.333307119
6949512250,V,V,V,V,V,V,V,V,Swift,Swift,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,4,4,4,4,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3,3,3,3,4,4,3,1,2,2,4,4,3,3,2,2,4,3,3,3,1,1,3,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Male,50-70,Graduate degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,2.123312538,0.200768432,2.022941775,2.016914032,0.355858215,0.027965537,0.079764709,0.200547981,0.144041116,-0.163125149,0.072764519,-0.618828209,-0.435598063,-0.711589266,0.094919429,-0.043504721,0.416595571,0.217412423,0.274178796
6949510004,C,C,V,V,V,V,C,C,Redwood,Redwood,3,2,2,2,2,2,3,3,2,3,3,3,3,3,2,4,5,5,1,4,4,4,4,5,3,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,3,4,4,4,3,4,4,2,3,4,4,3,4,3,1,2,1,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Male,50-70,"B.A., B.S., or equivalent",,75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-0.171354651,-0.300637435,-0.276285789,-0.406222513,0.036917134,0.000453014,-0.203414248,-0.03609532,0.101614598,0.421738401,-0.112060238,1.06798612,0.243823906,0.209139307,-0.621882989,0.124692899,-0.315762451,0.002918828,-0.184279024
6949508507,V,C,V,V,V,V,V,V,Otter Tail,Otter Tail,4,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,2,4,4,4,4,4,3,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,3,4,4,4,2,3,2,2,4,4,4,4,4,1,3,3,4,4,3,3,2,2,3,3,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,0.601922534,-0.108570161,0.531380248,0.723857283,0.045714683,0.003928626,0.056987087,0.0165744,0.033178637,-0.128639285,-0.111852971,0.313698966,0.405132306,0.345435687,0.628920662,-0.077747032,-0.579623488,0.044313631,0.144684758
6949506509,V,V,V,C,V,V,V,V,Grant,Stevens,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,4,4,4,2,3,3,4,4,5,3,3,2,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,4,4,4,4,4,4,2,3,4,3,3,4,4,2,3,3,4,2,3,3,2,3,1,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-0.227336891,-0.249071708,-0.083510617,-0.215762205,-0.193846007,-0.005607589,-0.175555073,-0.098515606,0.002006294,0.323908932,0.072563901,0.310030802,0.509366192,0.197644444,0.808589119,-0.016039174,0.15120127,-0.195013327,-0.006533598
6949504595,V,C,V,C,V,V,C,C,Faribault,Faribault,2,4,4,4,3,4,3,1,1,3,3,2,1,2,2,4,4,4,2,4,4,4,4,4,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,3,4,4,3,3,4,2,4,4,4,3,4,3,1,3,3,3,3,3,1,3,2,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-0.869297776,-0.122503984,0.067420982,0.226788143,0.000398837,-0.0154884,-0.138944892,-0.02511899,-0.003153989,-0.095924906,-0.11189874,0.358553747,-0.013318273,0.549835993,-0.348578712,-0.028172574,0.072810319,-0.208653878,-0.217902784
6949502871,V,V,V,V,V,V,V,V,Stevens,Stevens,3,5,5,4,4,4,3,4,5,3,3,3,3,4,5,5,5,5,4,4,2,4,4,5,2,1,2,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,4,4,3,5,2,3,2,4,4,5,4,2,3,2,2,4,4,5,1,3,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,1.109598592,-0.093292257,0.648113275,1.353883673,0.492424892,0.023034763,-0.031809633,0.041182587,0.1778097,0.586645761,-0.111980066,-0.465602519,0.149473236,0.271471119,-0.478470443,-0.093959365,-0.204190012,0.257416253,0.246371515
6949501136,C,C,C,C,C,C,C,C,Murray,Murray,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,5,3,1,2,2,3,4,3,3,3,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,2,1,1,1,3,4,4,3,3,1,3,4,3,2,3,4,2,3,2,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time off-farm work,-0.799687962,-0.187488209,-0.972571258,-0.799943832,-0.216420616,-0.003242496,-0.220591407,-0.278067437,-0.652093725,-0.391332315,-0.112096993,0.780862441,-0.86185904,0.509172775,0.390048513,-0.139506864,-1.780807294,-0.908145693,-0.869790833
6949498386,V,V,V,V,V,V,V,V,Murray,Murray,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,3,4,4,3,5,5,3,1,3,3,5,5,5,1,3,3,3,3,3,1,3,1,3,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,Male,30-50,Some college but no 4-year degree,"$1 -$24,999",50%-75%,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,-0.728295266,0.323606622,-0.607169121,-0.533144164,0.138452779,0.015352878,0.244600781,0.140917533,0.060420806,-0.689414966,-0.111841634,0.321523895,-0.150138707,-0.282228977,-0.5667267,-0.248732877,1.139663684,0.832187033,0.380583197
6949496064,V,C,C,C,V,C,C,V,Blue Earth,Blue Earth,3,4,3,5,4,4,3,4,3,5,5,5,4,3,4,4,2,5,5,4,4,5,5,4,4,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,4,4,3,4,4,3,2,4,2,5,5,4,3,2,1,4,5,3,2,3,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Male,Over 70,High school diploma,"$25,000 - $99,999",25%-50%,100 to 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,NA,NA,NA,NA,NA,NA,-0.118592893,0.247113211,0.908262923,-0.042004237,0.07254478,-0.953395305,-0.075478664,-0.415378095,0.133802126,0.098051775,0.507077663,0.814188183,0.692552151
6949493789,V,V,V,V,V,V,V,V,Douglas,Douglas,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,1,4,4,4,3,5,1,2,4,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,4,4,5,5,5,2,2,3,3,3,3,4,4,3,4,2,2,3,3,2,2,3,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,0.217975499,-0.278522107,0.136678883,0.645623427,-0.086493651,-0.014121333,-0.21508689,-0.106968121,-0.198743651,0.520586328,-0.11205205,-0.628387049,1.255835584,-0.022044173,-0.219708124,0.200798506,-1.333789706,-0.058589726,-0.10025924
6949491780,C,C,C,C,C,C,C,C,Watonwan,Watonwan,2,3,2,1,2,2,2,1,1,2,2,1,2,2,2,4,5,3,1,3,2,4,3,4,3,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,5,5,5,1,1,1,3,5,5,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-1.13374368,-0.276572127,-1.124446376,-0.655016085,-0.285266882,-0.020413914,-0.216068359,-0.206482415,-0.463989267,-0.141920713,-0.112079145,0.385124759,1.172553969,1.111286722,0.971102946,-0.207312635,-2.336116913,-1.877960128,-1.16214305
