Water body name,Water body description,Water body type,Year added to List,Basin,AUID,Use Class,County,Affected designated use,Pollutant or stressor
Fountain (North Bay),Lake or Reservoir,Lake,2012,Cedar River,24-0018-03,"2B, 3C",Freeborn,Aquatic Consumption,Mercury in fish tissue
Fountain (West Bay),Lake or Reservoir,Lake,2012,Cedar River,24-0018-02,"2B, 3C",Freeborn,Aquatic Consumption,Mercury in fish tissue
Fountain (West Bay),Lake or Reservoir,Lake,2008,Cedar River,24-0018-02,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
Geneva,Lake or Reservoir,Lake,2012,Cedar River,24-0015-00,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
Judicial Ditch 24,Unnamed ditch to JD 24,Stream,2020,Cedar River,07080201-587,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Judicial Ditch 25,Unnamed ditch to Unnamed cr,Stream,2018,Cedar River,07080203-515,"2Bg, 3C",Freeborn,Aquatic Life,Dissolved oxygen
Judicial Ditch 25,Unnamed ditch to Unnamed cr,Stream,2018,Cedar River,07080203-515,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
Judicial Ditch 5,-92.983 43.724 to Cedar R,Stream,2020,Cedar River,07080201-623,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,Aquatic Life,Dissolved oxygen
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,Aquatic Life,Nutrients
Lime Creek,Bear Lk to MN/IA border,Stream,2018,Cedar River,07080203-501,"2Bg, 3C",Freeborn,Aquatic Recreation,Escherichia coli (E.coli)
Little Cedar River,Headwaters to MN/IA border,Stream,2012,Cedar River,07080201-518,"2Bg, 3C",Mower,Aquatic Recreation,Escherichia coli (E.coli)
"Little Cedar River (Cedar River, Middle Fork)",Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-530,"2Bg, 3C",Dodge,Aquatic Life,Benthic macroinvertebrates bioassessments
"Little Cedar River, Middle Fork",Westfield-Ripley Ditch to Unnamed cr,Stream,2012,Cedar River,07080201-549,"2Bg, 3C",Dodge,Aquatic Life,Benthic macroinvertebrates bioassessments
Mud Creek,Headwaters to Turtle Cr (JD 24),Stream,2020,Cedar River,07080201-528,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Mud Lake Creek/County Ditch 75,Unnamed cr to Woodbury Cr,Stream,2020,Cedar River,07080201-590,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Orchard Creek,"T101 R18W S5, north line to Cedar R",Stream,2006,Cedar River,07080201-539,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Orchard Creek,"T102 R18W S29, north line to T102 R18W S32, south line",Stream,2020,Cedar River,07080201-613,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Otter Creek,Headwaters to MN/IA border,Stream,2020,Cedar River,07080201-517,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Otter Creek,Headwaters to MN/IA border,Stream,2006,Cedar River,07080201-517,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Pickeral,Lake or Reservoir,Lake,2016,Cedar River,24-0025-00,"2B, 3C",Freeborn,Aquatic Consumption,Mercury in fish tissue
Pickeral,Lake or Reservoir,Lake,2008,Cedar River,24-0025-00,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
Roberts Creek,Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-504,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Roberts Creek,Unnamed cr to Cedar R,Stream,2006,Cedar River,07080201-504,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Roberts Creek,Headwaters to Unnamed cr,Stream,2012,Cedar River,07080201-506,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Roberts Creek,Headwaters to Unnamed cr,Stream,2012,Cedar River,07080201-506,"2Bg, 3C",Mower,Aquatic Life,Fish bioassessments
Rose Creek,Headwaters to Cedar R,Stream,2012,Cedar River,07080201-522,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Rose Creek,Headwaters to Cedar R,Stream,2006,Cedar River,07080201-522,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Schwerin Creek,Headwaters to Rose Cr,Stream,2012,Cedar River,07080201-523,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2012,Cedar River,07080202-501,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2012,Cedar River,07080202-501,"2Bg, 3C",Freeborn,Aquatic Life,Dissolved oxygen
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2012,Cedar River,07080202-501,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2016,Cedar River,07080202-501,"2Bg, 3C",Freeborn,Aquatic Life,Nutrients
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2008,Cedar River,07080202-501,"2Bg, 3C",Freeborn,Aquatic Life,pH
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,2002,Cedar River,07080202-501,"2Bg, 3C",Freeborn,Aquatic Life,Turbidity
Shell Rock River,Albert Lea Lk to Goose Cr,Stream,1994,Cedar River,07080202-501,"2Bg, 3C",Freeborn,Aquatic Recreation,Fecal coliform
State Line,Lake or Reservoir,Lake,2018,Cedar River,24-0030-00,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
Steward Creek (County Ditch 23),Headwaters to Bear Lk,Stream,2018,Cedar River,07080203-504,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Steward Creek (County Ditch 23),Headwaters to Bear Lk,Stream,2018,Cedar River,07080203-504,"2Bg, 3C",Freeborn,Aquatic Life,Dissolved oxygen
Turtle Creek,"T103 R20W S2, north line to T103 R18W S31, south line",Stream,2020,Cedar River,07080201-538,"2Bg, 3C",Freeborn,Aquatic Life,Total suspended solids (TSS)
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2012,Cedar River,07080201-540,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2012,Cedar River,07080201-540,"2Bg, 3C",Mower,Aquatic Life,Fish bioassessments
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2006,Cedar River,07080201-540,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Turtle Creek,"T102 R18W S4, north line to Cedar R",Stream,2006,Cedar River,07080201-540,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Unnamed creek,Unnamed cr to Little Cedar R,Stream,2012,Cedar River,07080201-519,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2012,Cedar River,07080201-520,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-533,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Cedar R,Stream,2006,Cedar River,07080201-533,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Unnamed creek,"Unnamed cr to T103 R17W S10, west line",Stream,2012,Cedar River,07080201-534,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,"Unnamed cr to T103 R17W S10, west line",Stream,2012,Cedar River,07080201-534,"2Bg, 3C",Mower,Aquatic Life,Fish bioassessments
Unnamed creek,Unnamed cr to Turtle Cr,Stream,2012,Cedar River,07080201-547,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,JD 24 to Turtle Cr,Stream,2020,Cedar River,07080201-572,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Otter Cr,Stream,2020,Cedar River,07080201-574,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-577,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Rose Cr,Stream,2012,Cedar River,07080201-583,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Unnamed cr,Stream,2012,Cedar River,07080201-593,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to Orchard Cr,Stream,2020,Cedar River,07080201-594,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Unnamed cr to MN/IA border,Stream,2020,Cedar River,07080201-596,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,-92.931 43.837 to Cedar R,Stream,2020,Cedar River,07080201-617,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,-92.931 43.837 to Cedar R,Stream,2020,Cedar River,07080201-617,"2Bg, 3C",Mower,Aquatic Life,Fish bioassessments
Unnamed creek,-93.014 43.605 to Orchard Cr,Stream,2020,Cedar River,07080201-621,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Mud Lk to Fountain Lk,Stream,2020,Cedar River,07080202-516,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek,Mud Lk to Fountain Lk,Stream,2020,Cedar River,07080202-516,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
Unnamed creek,Mud Lk to Fountain Lk,Stream,2016,Cedar River,07080202-516,"2Bg, 3C",Freeborn,Aquatic Life,Nutrients
Unnamed creek,Mud Lk to Fountain Lk,Stream,2010,Cedar River,07080202-516,"2Bg, 3C",Freeborn,Aquatic Life,Turbidity
Unnamed creek,"T103 R22W S36, north line to Unnamed ditch",Stream,2020,Cedar River,07080202-531,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
Unnamed creek,"T103 R22W S36, north line to Unnamed ditch",Stream,2012,Cedar River,07080202-531,"2Bg, 3C",Freeborn,Aquatic Recreation,Escherichia coli (E.coli)
Unnamed creek,JD 26 to MN/IA border,Stream,2018,Cedar River,07080203-509,"2Bg, 3C",Freeborn,Aquatic Life,Dissolved oxygen
"Unnamed creek (Cedar River, West Fork)",Unnamed cr to Cedar R,Stream,2012,Cedar River,07080201-591,"2Bg, 3C",Dodge,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek (Woodson Creek),"T102 R18W S14, north line to Cedar R",Stream,2012,Cedar River,07080201-554,"1B, 2Ag, 3B",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Unnamed creek (Woodson Creek),"T102 R18W S14, north line to Cedar R",Stream,2012,Cedar River,07080201-554,"1B, 2Ag, 3B",Mower,Aquatic Life,Fish bioassessments
Wapsipinicon River,"-92.6732,  43.5073 to MN/IA border",Stream,2018,Cedar River,07080102-507,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Wapsipinicon River,"-92.6732,  43.5073 to MN/IA border",Stream,2018,Cedar River,07080102-507,"2Bg, 3C",Mower,Aquatic Life,Fish bioassessments
Wapsipinicon River,"-92.6732,  43.5073 to MN/IA border",Stream,2018,Cedar River,07080102-507,"2Bg, 3C",Mower,Aquatic Recreation,Escherichia coli (E.coli)
White,Lake or Reservoir,Lake,2012,Cedar River,24-0024-00,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
Wolf Creek,Headwaters to Cedar R,Stream,2006,Cedar River,07080201-510,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Woodbury Creek,Headwaters to 145th St,Stream,2006,Cedar River,07080201-614,"2Bg, 3C",Freeborn,Aquatic Recreation,Fecal coliform
Woodbury Creek,145th St to Cedar R,Stream,2020,Cedar River,07080201-615,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Woodbury Creek,145th St to Cedar R,Stream,2006,Cedar River,07080201-615,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Beaver Creek,121st Ave to Des Moines R,Stream,2018,Des Moines River,07100001-646,"2Bg, 3C",Murray,Aquatic Life,Chlorpyrifos
Beaver Creek,121st Ave to Des Moines R,Stream,2018,Des Moines River,07100001-646,"2Bg, 3C",Murray,Aquatic Life,Fish bioassessments
Beaver Creek,121st Ave to Des Moines R,Stream,2004,Des Moines River,07100001-646,"2Bg, 3C",Murray,Aquatic Life,Turbidity
Beaver Creek,121st Ave to Des Moines R,Stream,2002,Des Moines River,07100001-646,"2Bg, 3C",Murray,Aquatic Recreation,Fecal coliform
Beaver Creek,131st St to JD 14,Stream,2018,Des Moines River,07100001-663,"2Bg, 3C",Murray,Aquatic Life,Benthic macroinvertebrates bioassessments
Beaver Creek,131st St to JD 14,Stream,2018,Des Moines River,07100001-663,"2Bg, 3C",Murray,Aquatic Life,Fish bioassessments
Beaver Creek,JD 14 to CD 20,Stream,2018,Des Moines River,07100001-664,"2Bg, 3C",Murray,Aquatic Life,Fish bioassessments
Bloody,Lake or Reservoir,Lake,2010,Des Moines River,51-0040-00,"2B, 3C",Murray,Aquatic Recreation,Nutrients
Boot,Lake or Reservoir,Lake,2018,Des Moines River,32-0015-00,"2B, 3C",Jackson,Aquatic Recreation,Nutrients
Bright,Lake or Reservoir,Lake,2018,Des Moines River,46-0052-00,"2B, 3C",Martin,Aquatic Life,Fish bioassessments
Bright,Lake or Reservoir,Lake,2018,Des Moines River,46-0052-00,"2B, 3C",Martin,Aquatic Recreation,Nutrients
Brown Creek (Judicial Ditch 10),Headwaters to MN/IA border,Stream,2018,Des Moines River,07100002-502,"2Bg, 3C",Martin,Aquatic Life,Benthic macroinvertebrates bioassessments
Corabelle,Lake or Reservoir,Lake,2018,Des Moines River,51-0054-00,"2B, 3C",Murray,Aquatic Life,Fish bioassessments
Corabelle,Lake or Reservoir,Lake,2018,Des Moines River,51-0054-00,"2B, 3C",Murray,Aquatic Recreation,Nutrients
Cottonwood,Lake or Reservoir,Lake,2018,Des Moines River,17-0022-00,"2B, 3C",Cottonwood,Aquatic Life,Fish bioassessments
County Ditch 1/Judicial Ditch 50,Unnamed cr to CD 11,Stream,2018,Des Moines River,07100003-515,"2Bg, 3C",Martin,Aquatic Recreation,Escherichia coli (E.coli)
County Ditch 11,Headwaters to E Fk Des Moines R,Stream,2018,Des Moines River,07100003-503,7,Martin,Limited Resource Value,Escherichia coli (E.coli)
County Ditch 20,Headwaters to Beaver Cr,Stream,2018,Des Moines River,07100001-504,"2Bg, 3C",Murray,Aquatic Life,Fish bioassessments
County Ditch 20,Headwaters to Beaver Cr,Stream,2002,Des Moines River,07100001-504,"2Bg, 3C",Murray,Aquatic Recreation,Fecal coliform
County Ditch 43 (Scheldorf Creek),Unnamed cr to Des Moines R,Stream,2018,Des Moines River,07100001-552,"1B, 2Ag, 3B",Cottonwood,Aquatic Life,Benthic macroinvertebrates bioassessments
County Ditch 43 (Scheldorf Creek),Unnamed cr to Des Moines R,Stream,2018,Des Moines River,07100001-552,"1B, 2Ag, 3B",Cottonwood,Aquatic Life,Fish bioassessments
County Ditch 53,Unnamed cr to MN/IA border,Stream,2018,Des Moines River,07100003-506,"2Bg, 3C",Martin,Aquatic Life,Fish bioassessments
Currant,Lake or Reservoir,Lake,2018,Des Moines River,51-0082-00,"2B, 3C",Murray,Aquatic Life,Fish bioassessments
Currant,Lake or Reservoir,Lake,2008,Des Moines River,51-0082-00,"2B, 3C",Murray,Aquatic Recreation,Nutrients
Des Moines River,Windom Dam to Jackson Dam,Stream,1994,Des Moines River,07100001-501,"2Bg, 3C",Jackson,Aquatic Life,"Ammonia, un-ionized"
Des Moines River,Windom Dam to Jackson Dam,Stream,2018,Des Moines River,07100001-501,"2Bg, 3C",Jackson,Aquatic Life,Benthic macroinvertebrates bioassessments
Des Moines River,Windom Dam to Jackson Dam,Stream,1994,Des Moines River,07100001-501,"2Bg, 3C",Jackson,Aquatic Life,Dissolved oxygen
Des Moines River,Windom Dam to Jackson Dam,Stream,2018,Des Moines River,07100001-501,"2Bg, 3C",Jackson,Aquatic Life,Fish bioassessments
Des Moines River,Windom Dam to Jackson Dam,Stream,2016,Des Moines River,07100001-501,"2Bg, 3C",Jackson,Aquatic Life,Nutrients
Des Moines River,Windom Dam to Jackson Dam,Stream,1998,Des Moines River,07100001-501,"2Bg, 3C",Jackson,Aquatic Life,Turbidity
Des Moines River,Windom Dam to Jackson Dam,Stream,2004,Des Moines River,07100001-501,"2Bg, 3C",Jackson,Aquatic Recreation,Fecal coliform
Des Moines River,Heron Lk outlet to Windom Dam,Stream,2018,Des Moines River,07100001-524,"2Bg, 3C",Cottonwood,Aquatic Life,Benthic macroinvertebrates bioassessments
Des Moines River,Heron Lk outlet to Windom Dam,Stream,2018,Des Moines River,07100001-524,"2Bg, 3C",Cottonwood,Aquatic Life,Fish bioassessments
Des Moines River,Heron Lk outlet to Windom Dam,Stream,2006,Des Moines River,07100001-524,"2Bg, 3C",Cottonwood,Aquatic Life,Turbidity
Des Moines River,Heron Lk outlet to Windom Dam,Stream,2018,Des Moines River,07100001-524,"2Bg, 3C",Cottonwood,Aquatic Recreation,Escherichia coli (E.coli)
Des Moines River,Lime Cr to Heron Lk outlet,Stream,2018,Des Moines River,07100001-533,"2Bg, 3C",Cottonwood,Aquatic Life,Benthic macroinvertebrates bioassessments
Des Moines River,Lime Cr to Heron Lk outlet,Stream,2018,Des Moines River,07100001-533,"2Bg, 3C",Cottonwood,Aquatic Life,Fish bioassessments
Des Moines River,Lime Cr to Heron Lk outlet,Stream,2004,Des Moines River,07100001-533,"2Bg, 3C",Cottonwood,Aquatic Life,Turbidity
Des Moines River,Lime Cr to Heron Lk outlet,Stream,2004,Des Moines River,07100001-533,"2Bg, 3C",Cottonwood,Aquatic Recreation,Fecal coliform
Des Moines River,Jackson Dam to JD 66,Stream,2016,Des Moines River,07100001-541,"2Bg, 3C",Jackson,Aquatic Consumption,Mercury in fish tissue
Des Moines River,Jackson Dam to JD 66,Stream,2002,Des Moines River,07100001-541,"2Bg, 3C",Jackson,Aquatic Life,Turbidity
Des Moines River,Lk Shetek to Beaver Cr,Stream,2018,Des Moines River,07100001-545,"2Bg, 3C",Murray,Aquatic Life,Benthic macroinvertebrates bioassessments
Des Moines River,Lk Shetek to Beaver Cr,Stream,2018,Des Moines River,07100001-545,"2Bg, 3C",Murray,Aquatic Life,Fish bioassessments
Des Moines River,Lk Shetek to Beaver Cr,Stream,2006,Des Moines River,07100001-545,"2Bg, 3C",Murray,Aquatic Life,Turbidity
Des Moines River,Beaver Cr to Lime Cr,Stream,2018,Des Moines River,07100001-546,"2Bg, 3C",Murray,Aquatic Life,Benthic macroinvertebrates bioassessments
Des Moines River,Beaver Cr to Lime Cr,Stream,2018,Des Moines River,07100001-546,"2Bg, 3C",Murray,Aquatic Life,Fish bioassessments
Des Moines River,Beaver Cr to Lime Cr,Stream,2004,Des Moines River,07100001-546,"2Bg, 3C",Murray,Aquatic Life,Turbidity
