respondentid,"choice1","choice2","choice3","choice4","choice5","choice6","choice7",choice8,countyresident,countyland,scenicconcern,scenicmoderate,scenicmajor,nutrientconcern,nutrientmoderate,nutrientmajor,habitatconcern,habitatmoderate,habitatmajor,sedimentconcern,sedimentmoderate,sedimentmajor,recreationconcern,recreationmoderate,recreationmajor,valknowconservation,valundueblame,valwaterimportant,vallandregulate,valwaterproblem,valpaymentimportant,valtogether,valstaff,valsteward,valinfluence,pollutionobs,familiar25,otherswetland,otherscovercrop,othersnm,pastcrp,pastfcp,pastmci,pastoneseason,pastlongterm,pastgcdt,pastgcsv,nowcrp,noweqip,nowfcsv,nowcsp,practicegd,practicemintill,practicerb,practicerp,obssediment,obsnutrients,obsodor,obstrash,obslackfish,obsunsafeswim,obscolor,obsunsafedrink,opwetlandfamiliar,opwetlandcostr,opwetlandcontrol,opwetlandequipment,opwetlandcostm,opwetlandhabitat,opwetlandsoil,opcovercropfamiliar,opcovercroprp,opcovercroptimep,opcovercroptimeh,opcovercroprs,opcovercropis,opcovercropln,opnmfamiliar,opnmrs,opnmrl,opnmis,opnmrf,opnmcost,opwetlandopen,opwetlandrestored,opcovercropopen,opcovercropplant,opnmopen,acfish,acswim,acexplore,ackayak,achunt,achike,acbike,acpicnic,achorseride,acgooffroading,sptlandowners,sptfarmmanager,sptrenters,sptgovstaff,sptmrbboard,infonrcs,infofsa,infoces,infomedial,infospecialists,infosfdealer,infomdealer,infoneighborfriends,infoscdc,infovai,infoprivateconsultants,infonpo,infomedian,preferfielddemo,preferinternet,prefercountymeeting,prefertelevision,prefermagazines,preferradio,preferprinted,prefervisual,preferonfarmconsul,prefertradeshows,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,work2017
6949498386,V,V,V,V,V,V,V,V,Murray,Murray,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,3,4,4,3,5,5,3,1,3,3,5,5,5,1,3,3,3,3,3,1,3,1,3,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,Male,30-50,Some college but no 4-year degree,"$1 -$24,999",50%-75%,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others
6949496064,V,C,C,C,V,C,C,V,Blue Earth,Blue Earth,3,4,3,5,4,4,3,4,3,5,5,5,4,3,4,4,2,5,5,4,4,5,5,4,4,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,4,4,3,4,4,3,2,4,2,5,5,4,3,2,1,4,5,3,2,3,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Male,Over 70,High school diploma,"$25,000 - $99,999",25%-50%,100 to 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired
6949493789,V,V,V,V,V,V,V,V,Douglas,Douglas,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,1,4,4,4,3,5,1,2,4,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,4,4,5,5,5,2,2,3,3,3,3,4,4,3,4,2,2,3,3,2,2,3,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others
6949491780,C,C,C,C,C,C,C,C,Watonwan,Watonwan,2,3,2,1,2,2,2,1,1,2,2,1,2,2,2,4,5,3,1,3,2,4,3,4,3,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,5,5,5,1,1,1,3,5,5,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949489833,V,V,C,C,V,C,V,C,Waseca,Waseca,3,5,4,4,3,3,3,5,5,5,5,5,4,4,5,5,5,5,1,5,2,4,4,5,3,1,4,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,4,3,5,2,5,4,4,4,2,2,2,4,4,3,3,4,3,2,2,4,3,2,1,1,3,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,Male,Over 70,Some college but no 4-year degree,"$25,000 - $99,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others
6949488002,V,C,V,C,V,V,C,V,Brown,Brown,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,4,5,4,1,2,4,1,2,5,3,2,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,4,4,4,4,3,4,2,3,3,3,4,4,3,2,3,3,3,3,4,1,2,1,3,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949485959,V,C,V,C,V,V,V,V,Blue Earth,Blue Earth,3,2,2,3,3,3,4,4,3,3,3,4,3,3,2,4,4,4,4,4,4,4,4,4,4,3,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,3,4,3,3,4,2,3,3,3,4,4,3,2,2,2,3,3,3,1,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Other (please specify),Retired
6949478309,V,V,V,V,V,V,V,V,Lyon,Lyon,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,5,3,3,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,4,5,3,3,4,1,2,2,4,4,5,4,2,3,3,3,3,3,3,2,1,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Male,Over 70,High school diploma,,50%-75%,"500 to 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired
6949476839,,,,,,,,,Blue Earth,Faribault,4,4,3,2,4,4,3,3,3,3,3,3,2,3,4,,,,,,,,,,,3,1,,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1%-25%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Part-time farm work on land owned by me or rented from others
6949474644,,,,,,,,,Sibley,Sibley,4,5,4,2,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,5,3,4,4,5,3,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,3,3,3,4,4,2,3,3,3,5,5,3,1,3,3,3,3,3,1,1,2,3,3,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres,"Yes, and someone else is in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Part-time farm work on land owned by me or rented from others
6949471920,V,V,V,V,V,V,V,C,Sibley,Sibley,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,5,4,3,4,2,5,4,5,4,1,3,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,3,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,4,3,3,2,3,3,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,Male,Over 70,High school diploma,"$500,000 to $999,999",75%-100%,"1,000 acres or more","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others
6949467324,C,C,C,V,C,V,C,C,Faribault,Faribault,3,4,3,3,3,3,3,3,3,3,3,2,4,3,3,4,5,4,1,2,4,3,3,5,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,5,3,3,3,2,3,2,4,3,3,4,4,4,2,2,2,2,4,2,3,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,Over 70,Some college but no 4-year degree,None,75%-100%,"500 to 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Other (please specify),Retired
6949465030,V,V,C,V,C,V,V,C,Blue Earth,Blue Earth,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,4,4,4,2,2,2,2,2,4,2,3,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),
